Epoch,G_Loss,D_Loss,Val_PSNR,Val_SSIM,Val_IFC,Set5_PSNR,Set5_SSIM,Set5_IFC,Set14_PSNR,Set14_SSIM,Set14_IFC
207,0.006049,0.061911,30.9000,0.866276,2.567137,28.0197,0.828385,2.686573,24.8575,0.703993,2.724156
208,0.006052,0.198674,30.7559,0.857357,2.576473,28.0932,0.822200,2.693600,24.9282,0.695473,2.735476
209,0.006037,0.228350,30.5397,0.860858,2.571527,28.0808,0.828899,2.688502,24.8963,0.702793,2.730725
210,0.005991,0.276523,31.2956,0.873199,2.569261,28.2927,0.834595,2.688475,25.0015,0.710838,2.727357
211,0.005941,0.092017,30.6696,0.866445,2.570372,28.0342,0.829730,2.688667,24.8446,0.703606,2.728845
212,0.005931,0.117254,31.2348,0.873853,2.572439,28.2957,0.835410,2.690151,25.0041,0.711913,2.730392
213,0.005949,0.284054,31.2802,0.873303,2.569875,28.2287,0.833401,2.687257,25.0105,0.710483,2.727286
214,0.005901,0.224758,31.1022,0.871930,2.566982,28.1771,0.833375,2.685858,24.9475,0.709820,2.723770
215,0.005846,0.000719,31.2077,0.874236,2.570175,28.2390,0.834199,2.688838,24.9851,0.710825,2.727805
216,0.005912,0.006576,31.1852,0.873400,2.569447,28.2500,0.833763,2.689218,25.0180,0.710853,2.728240
217,0.005950,0.299648,30.9933,0.872289,2.569700,28.1388,0.833515,2.688467,24.9514,0.708839,2.727761
218,0.005898,0.192679,31.2809,0.872517,2.571315,28.2199,0.832232,2.690536,24.9793,0.707621,2.728965
219,0.005949,0.201312,30.7600,0.858776,2.572785,27.9267,0.820965,2.690298,24.7599,0.689530,2.730057
220,0.005823,0.144327,31.1736,0.873308,2.567767,28.0808,0.831134,2.687387,24.8696,0.704568,2.723661
221,0.005857,0.089467,31.2026,0.873690,2.569812,28.1774,0.832980,2.690435,24.8763,0.706022,2.726377
222,0.005851,0.221218,31.2777,0.872272,2.570389,28.1974,0.832509,2.690268,24.9640,0.706639,2.727671
223,0.005806,0.248075,31.1837,0.873493,2.571749,28.2416,0.834722,2.689925,25.0037,0.710347,2.730503
224,0.005840,0.156428,31.3501,0.875130,2.569967,28.2930,0.834408,2.689054,24.9850,0.709908,2.727989
225,0.005778,0.207331,31.1480,0.870553,2.569977,28.1505,0.830311,2.688067,24.9605,0.704690,2.726065
226,0.005703,0.015087,31.2350,0.873890,2.566296,28.1435,0.831919,2.687091,24.8757,0.706673,2.721501
227,0.005784,0.004983,31.2149,0.875457,2.567704,28.2135,0.834373,2.686816,24.9403,0.709771,2.725018
228,0.005889,0.531246,31.1999,0.870565,2.573533,28.2127,0.830310,2.690643,25.0307,0.707796,2.733314
229,0.005814,0.030112,31.2441,0.871920,2.568018,28.1303,0.829088,2.687450,24.9598,0.705427,2.726096
230,0.005797,0.001438,31.0861,0.868858,2.565463,28.0025,0.825915,2.686601,24.8028,0.696941,2.720394
231,0.005825,0.027600,31.3595,0.874533,2.569698,28.3138,0.834561,2.689065,25.0231,0.709858,2.728644
232,0.005822,0.003475,31.0230,0.873817,2.567621,28.2256,0.833773,2.687722,24.9347,0.707177,2.725163
233,0.005842,0.000005,31.3186,0.874168,2.569020,28.2542,0.833784,2.688723,24.9630,0.707893,2.727244
234,0.005889,0.013844,31.0005,0.871773,2.565667,28.0031,0.829106,2.686204,24.8199,0.702480,2.721698
235,0.005845,0.008879,31.1060,0.873811,2.567787,28.1496,0.831481,2.687855,24.9096,0.706384,2.725820
236,0.005825,0.005285,30.4388,0.846231,2.574665,28.2243,0.821736,2.694023,24.9591,0.697591,2.733877
237,0.005887,0.063901,31.3156,0.873682,2.570580,28.1863,0.830955,2.690062,24.8926,0.704581,2.727657
238,0.005822,0.000005,31.0171,0.872751,2.562121,27.9723,0.828016,2.682239,24.8406,0.703058,2.718456
