Training History
Val_PSNR: 33.5956
Val_SSIM: 0.949257

Epoch 164:
G_Loss: 0.014524
D_Loss: 2.000000
Val_PSNR: 34.9560
Val_SSIM: 0.943169

Epoch 165:
G_Loss: 0.014322
D_Loss: 2.000000
Val_PSNR: 35.5353
Val_SSIM: 0.948840

Epoch 166:
G_Loss: 0.014370
D_Loss: 2.000000
Val_PSNR: 34.8285
Val_SSIM: 0.950996

Epoch 167:
G_Loss: 0.014397
D_Loss: 2.000000
Val_PSNR: 35.0609
Val_SSIM: 0.949091

Epoch 168:
G_Loss: 0.014430
D_Loss: 2.000000
Val_PSNR: 35.3461
Val_SSIM: 0.949470

Epoch 169:
G_Loss: 0.014320
D_Loss: 2.000000
Val_PSNR: 35.4271
Val_SSIM: 0.949865

Epoch 170:
G_Loss: 0.014302
D_Loss: 2.000000
Val_PSNR: 35.6316
Val_SSIM: 0.951074

Epoch 171:
G_Loss: 0.014327
D_Loss: 2.000000
Val_PSNR: 35.5190
Val_SSIM: 0.948252

Epoch 172:
G_Loss: 0.014383
D_Loss: 2.000000
Val_PSNR: 35.6482
Val_SSIM: 0.950040

Epoch 173:
G_Loss: 0.014350
D_Loss: 2.000000
Val_PSNR: 35.1088
Val_SSIM: 0.942120

Epoch 174:
G_Loss: 0.014201
D_Loss: 2.000000
Val_PSNR: 35.5419
Val_SSIM: 0.946671

Epoch 175:
G_Loss: 0.014358
D_Loss: 2.000000
Val_PSNR: 35.4591
Val_SSIM: 0.950034

Epoch 176:
G_Loss: 0.014182
D_Loss: 2.000000
Val_PSNR: 35.3826
Val_SSIM: 0.943779

Epoch 177:
G_Loss: 0.014199
D_Loss: 2.000000
Val_PSNR: 35.3057
Val_SSIM: 0.948037

Epoch 178:
G_Loss: 0.014118
D_Loss: 2.000000
Val_PSNR: 35.0213
Val_SSIM: 0.949094

Epoch 179:
G_Loss: 0.014232
D_Loss: 2.000000
Val_PSNR: 35.2186
Val_SSIM: 0.949119

Epoch 180:
G_Loss: 0.014118
D_Loss: 2.000000
Val_PSNR: 35.5822
Val_SSIM: 0.951340

Epoch 181:
G_Loss: 0.014079
D_Loss: 2.000000
Val_PSNR: 35.5137
Val_SSIM: 0.947331

Epoch 182:
G_Loss: 0.014072
D_Loss: 2.000000
Val_PSNR: 35.2978
Val_SSIM: 0.948418

Epoch 183:
G_Loss: 0.014137
D_Loss: 2.000000
Val_PSNR: 35.5565
Val_SSIM: 0.950202

Epoch 184:
G_Loss: 0.014059
D_Loss: 2.000000
Val_PSNR: 35.6906
Val_SSIM: 0.949093

Epoch 185:
G_Loss: 0.014154
D_Loss: 2.000000
Val_PSNR: 35.5977
Val_SSIM: 0.947328

Epoch 186:
G_Loss: 0.014039
D_Loss: 2.000000
Val_PSNR: 35.6841
Val_SSIM: 0.946433

Epoch 187:
G_Loss: 0.014071
D_Loss: 2.000000
Val_PSNR: 35.3885
Val_SSIM: 0.949705

Epoch 188:
G_Loss: 0.014059
D_Loss: 2.000000
Val_PSNR: 35.2765
Val_SSIM: 0.939786

Epoch 189:
G_Loss: 0.014230
D_Loss: 2.000000
Val_PSNR: 35.0360
Val_SSIM: 0.936628

Epoch 190:
G_Loss: 0.014113
D_Loss: 2.000000
Val_PSNR: 35.6798
Val_SSIM: 0.948528

Epoch 191:
G_Loss: 0.014113
D_Loss: 2.000000
Val_PSNR: 35.3628
Val_SSIM: 0.945425

Epoch 192:
G_Loss: 0.013962
D_Loss: 2.000000
Val_PSNR: 35.5560
Val_SSIM: 0.951689

Epoch 193:
