Epoch,G_Loss,D_Loss,Val_PSNR,Val_SSIM,Val_IFC,Set5_PSNR,Set5_SSIM,Set5_IFC,Set14_PSNR,Set14_SSIM,Set14_IFC
195,0.006656,0.315166,30.3408,0.859529,2.551428,26.7793,0.783551,2.671513,24.1578,0.661958,2.700565
196,0.006557,0.304771,30.0128,0.856203,2.551685,26.5172,0.776642,2.668906,24.0117,0.658391,2.698558
197,0.006644,0.314924,30.6162,0.860299,2.559307,27.0313,0.788039,2.678941,24.3619,0.667673,2.712034
198,0.006573,0.301894,30.6020,0.863978,2.557420,27.0359,0.795972,2.677819,24.4041,0.674832,2.708504
199,0.006533,0.302187,30.5322,0.859365,2.550289,26.5987,0.779432,2.668579,24.1062,0.659709,2.694620
200,0.006577,0.305642,30.7165,0.862244,2.556428,26.9516,0.791046,2.677475,24.2955,0.668212,2.706770
201,0.006608,0.314844,30.6759,0.862570,2.549674,26.7283,0.786529,2.669068,24.1932,0.665207,2.695643
202,0.006535,0.293943,30.3111,0.858299,2.550169,26.8252,0.784399,2.670243,24.2375,0.664747,2.700124
203,0.006556,0.308547,30.5299,0.861273,2.554916,26.8413,0.785182,2.673944,24.2460,0.664581,2.703852
204,0.006481,0.294633,30.7457,0.862087,2.556662,26.9573,0.789005,2.675227,24.3445,0.668661,2.709041
205,0.006533,0.304459,30.7714,0.864849,2.557166,27.0340,0.794101,2.675617,24.4026,0.673667,2.708781
206,0.006552,0.309532,30.5120,0.858220,2.545760,26.6011,0.778810,2.665820,24.0599,0.656484,2.688624
207,0.006496,0.303997,30.6793,0.862409,2.551603,26.7886,0.786791,2.670818,24.1517,0.662246,2.696107
208,0.006467,0.303557,30.5800,0.862350,2.554025,26.7954,0.786912,2.673060,24.2019,0.665152,2.700973
209,0.006519,0.304181,30.3757,0.856157,2.546838,26.3572,0.768523,2.666195,23.9061,0.647688,2.688089
210,0.006502,0.301276,30.5259,0.857099,2.557301,26.8822,0.780784,2.676300,24.2461,0.660340,2.706060
211,0.006491,0.297436,30.5806,0.859111,2.550519,26.6941,0.780027,2.668855,24.1056,0.657617,2.695692
212,0.006456,0.295256,30.7508,0.863167,2.554078,26.9081,0.790181,2.673175,24.2846,0.668710,2.703261
213,0.006470,0.306657,30.7735,0.864035,2.552084,26.8882,0.789201,2.673080,24.2273,0.666010,2.698889
214,0.006475,0.303236,30.7802,0.866057,2.553996,27.0392,0.795692,2.674353,24.3338,0.673259,2.702598
215,0.006473,0.297407,30.6487,0.862746,2.554304,26.8673,0.788669,2.674204,24.2272,0.665504,2.702244
216,0.006458,0.301115,30.6328,0.861718,2.551841,26.8001,0.786659,2.672952,24.1564,0.661943,2.698137
217,0.006426,0.296423,30.1119,0.856563,2.552021,26.6829,0.778181,2.672027,24.0897,0.656127,2.698033
218,0.006449,0.300446,30.4218,0.859101,2.546141,26.5294,0.778784,2.665933,24.0099,0.656584,2.688614
219,0.006470,0.298829,30.7475,0.863952,2.555846,26.9573,0.792229,2.675885,24.3089,0.670548,2.705680
220,0.006421,0.298428,30.7936,0.864600,2.553604,26.8577,0.786494,2.673485,24.2474,0.666315,2.701849
221,0.006407,0.300395,30.6192,0.861849,2.555951,26.9299,0.789384,2.675920,24.2609,0.667637,2.705354
222,0.006430,0.299192,30.6766,0.860697,2.556968,26.8793,0.781461,2.676016,24.2461,0.660537,2.706043
223,0.006416,0.291273,30.6554,0.861562,2.554284,26.8311,0.783871,2.673414,24.2026,0.663083,2.703041
224,0.006408,0.295954,30.7387,0.861960,2.556747,27.0045,0.788454,2.676951,24.2773,0.665593,2.706640
225,0.006405,0.305983,30.6927,0.863618,2.551053,26.8364,0.786173,2.671699,24.2035,0.664416,2.699230
226,0.006421,0.296299,30.7355,0.863349,2.553585,26.9536,0.791082,2.674750,24.2728,0.668183,2.701789
227,0.006370,0.292557,30.5222,0.858860,2.544861,26.5110,0.775791,2.665127,23.9636,0.652812,2.685687
228,0.006403,0.294952,30.5987,0.862092,2.551987,26.8822,0.787593,2.673416,24.1913,0.663923,2.700300
229,0.006372,0.293387,30.4726,0.860275,2.549982,26.9894,0.790231,2.671850,24.2751,0.668967,2.700173
230,0.006375,0.298503,30.4296,0.858539,2.549493,26.7290,0.781754,2.671699,24.0718,0.657325,2.694820
231,0.006372,0.286316,30.7832,0.863506,2.556680,26.9970,0.789305,2.677208,24.2914,0.666268,2.706814
232,0.006354,0.292807,30.5440,0.861353,2.551901,26.8241,0.783966,2.672368,24.1943,0.662819,2.700739
233,0.006394,0.295644,30.7143,0.862071,2.555947,26.9356,0.788611,2.676138,24.2774,0.666540,2.705421
234,0.006333,0.286792,30.6873,0.863153,2.553238,26.8203,0.784562,2.673160,24.1974,0.663475,2.700664
235,0.006349,0.289461,30.6575,0.862964,2.554943,26.8687,0.784787,2.674300,24.2509,0.663831,2.702509
236,0.006356,0.303151,30.6696,0.861900,2.552365,26.8042,0.782826,2.672816,24.1580,0.660721,2.698636
237,0.006343,0.289439,30.6467,0.860859,2.554199,26.9313,0.784828,2.674156,24.2410,0.662114,2.702862
238,0.006335,0.287217,30.6210,0.860481,2.551857,26.8767,0.782801,2.673096,24.1836,0.660901,2.698671
239,0.006349,0.290046,30.5516,0.863011,2.550333,26.7576,0.787767,2.670970,24.1381,0.664404,2.696390
